name,artist,cluster
Hot In Herre                                                                                                                                                                     ,Nelly                                           ,3
Hey Ya! - Radio Mix / Club Mix                                                                                                                                                   ,Outkast                                         ,31
Bulletproof                                                                                                                                                                      ,La Roux                                         ,29
Teenage Dirtbag                                                                                                                                                                  ,Wheatus                                         ,31
Haven't Met You Yet                                                                                                                                                              ,Michael Bublé                                   ,5
"Independent Women, Pt. 1                                                                                                                                                       ",Destiny's Child                                 ,7
Whole Again                                                                                                                                                                      ,Atomic Kitten                                   ,31
Run This Town                                                                                                                                                                    ,JAY-Z                                           ,27
Get the Party Started                                                                                                                                                            ,P!nk                                            ,3
Dirrty (feat. Redman)                                                                                                                                                            ,Christina Aguilera                              ,27
Gives You Hell                                                                                                                                                                   ,The All-American Rejects                        ,31
Knock You Down                                                                                                                                                                   ,Keri Hilson                                     ,10
Love Don't Cost a Thing                                                                                                                                                          ,Jennifer Lopez                                  ,11
Bootylicious                                                                                                                                                                     ,Destiny's Child                                 ,7
Crush                                                                                                                                                                            ,David Archuleta                                 ,22
Hall of Fame (feat. will.i.am)                                                                                                                                                   ,The Script                                      ,1
Impossible - Main                                                                                                                                                                ,Shontelle                                       ,1
Put Your Records On                                                                                                                                                              ,Corinne Bailey Rae                              ,1
Bubbly                                                                                                                                                                           ,Colbie Caillat                                  ,21
Let Me Love You                                                                                                                                                                  ,Mario                                           ,3
Boom Boom Pow                                                                                                                                                                    ,Black Eyed Peas                                 ,1
Hate That I Love You                                                                                                                                                             ,Rihanna                                         ,29
Thnks fr th Mmrs                                                                                                                                                                 ,Fall Out Boy                                    ,18
Yellow                                                                                                                                                                           ,Coldplay                                        ,10
Gold Digger                                                                                                                                                                      ,Kanye West                                      ,7
Can't Get You out of My Head                                                                                                                                                     ,Kylie Minogue                                   ,3
Candy Shop                                                                                                                                                                       ,50 Cent                                         ,13
I'm Yours                                                                                                                                                                        ,Jason Mraz                                      ,21
My Love                                                                                                                                                                          ,Justin Timberlake                               ,11
Sex on Fire                                                                                                                                                                      ,Kings of Leon                                   ,10
Whataya Want from Me                                                                                                                                                             ,Adam Lambert                                    ,18
Closer                                                                                                                                                                           ,The Chainsmokers                                ,5
Sorry                                                                                                                                                                            ,Justin Bieber                                   ,22
Thinking out Loud                                                                                                                                                                ,Ed Sheeran                                      ,14
Congratulations                                                                                                                                                                  ,Post Malone                                     ,1
Just the Way You Are                                                                                                                                                             ,Bruno Mars                                      ,1
Someone Like You                                                                                                                                                                 ,Adele                                           ,21
Wake Me Up                                                                                                                                                                       ,Avicii                                          ,8
bad guy                                                                                                                                                                          ,Billie Eilish                                   ,13
"Love Me Like You Do - From ""Fifty Shades Of Grey""                                                                                                                            ",Ellie Goulding                                  ,18
Wildest Dreams                                                                                                                                                                   ,Taylor Swift                                    ,1
Story of My Life                                                                                                                                                                 ,One Direction                                   ,8
Treat You Better                                                                                                                                                                 ,Shawn Mendes                                    ,7
The One That Got Away                                                                                                                                                            ,Katy Perry                                      ,29
We Don't Talk Anymore (feat. Selena Gomez)                                                                                                                                       ,Charlie Puth                                    ,15
Blank Space                                                                                                                                                                      ,Taylor Swift                                    ,5
Stitches                                                                                                                                                                         ,Shawn Mendes                                    ,31
Heart Attack                                                                                                                                                                     ,Demi Lovato                                     ,10
Payphone                                                                                                                                                                         ,Maroon 5                                        ,38
What Makes You Beautiful                                                                                                                                                         ,One Direction                                   ,31
Dusk Till Dawn - Radio Edit                                                                                                                                                      ,ZAYN                                            ,23
There's Nothing Holdin' Me Back                                                                                                                                                  ,Shawn Mendes                                    ,31
Talking to the Moon                                                                                                                                                              ,Bruno Mars                                      ,22
Like I Can                                                                                                                                                                       ,Sam Smith                                       ,3
Drag Me Down                                                                                                                                                                     ,One Direction                                   ,22
Maps                                                                                                                                                                             ,Maroon 5                                        ,29
I Knew You Were Trouble                                                                                                                                                          ,Taylor Swift                                    ,24
Love Yourself                                                                                                                                                                    ,Justin Bieber                                   ,13
Rude                                                                                                                                                                             ,MAGIC!                                          ,38
"10,000 Hours (with Justin Bieber)                                                                                                                                              ",Dan + Shay                                      ,1
If I Can't Have You                                                                                                                                                              ,Shawn Mendes                                    ,31
Mirrors                                                                                                                                                                          ,Justin Timberlake                               ,29
Say You Won't Let Go                                                                                                                                                             ,James Arthur                                    ,21
Stereo Hearts (feat. Adam Levine)                                                                                                                                                ,Gym Class Heroes                                ,5
Memories                                                                                                                                                                         ,Maroon 5                                        ,21
Set Fire to the Rain                                                                                                                                                             ,Adele                                           ,22
Classic                                                                                                                                                                          ,MKTO                                            ,31
Locked Away (feat. Adam Levine)                                                                                                                                                  ,R. City                                         ,8
Mercy                                                                                                                                                                            ,Shawn Mendes                                    ,23
Attention                                                                                                                                                                        ,Charlie Puth                                    ,29
Photograph                                                                                                                                                                       ,Ed Sheeran                                      ,14
Shout Out to My Ex                                                                                                                                                               ,Little Mix                                      ,5
The Middle                                                                                                                                                                       ,Zedd                                            ,1
Sugar                                                                                                                                                                            ,Maroon 5                                        ,31
"Flashlight - From ""Pitch Perfect 2"" Soundtrack                                                                                                                               ",Jessie J                                        ,8
She Looks So Perfect                                                                                                                                                             ,5 Seconds of Summer                             ,10
Counting Stars                                                                                                                                                                   ,OneRepublic                                     ,22
Animals                                                                                                                                                                          ,Maroon 5                                        ,11
Wolves                                                                                                                                                                           ,Selena Gomez                                    ,23
IDGAF                                                                                                                                                                            ,Dua Lipa                                        ,5
Adore You                                                                                                                                                                        ,Harry Styles                                    ,1
Someone You Loved                                                                                                                                                                ,Lewis Capaldi                                   ,14
Beautiful People (feat. Khalid)                                                                                                                                                  ,Ed Sheeran                                      ,7
Too Good At Goodbyes                                                                                                                                                             ,Sam Smith                                       ,14
We Are Never Ever Getting Back Together                                                                                                                                          ,Taylor Swift                                    ,5
Something Just Like This                                                                                                                                                         ,The Chainsmokers                                ,23
"thank u, next                                                                                                                                                                  ",Ariana Grande                                   ,8
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""                                                           ",ZAYN                                            ,8
Perfect                                                                                                                                                                          ,Ed Sheeran                                      ,1
When We Were Young                                                                                                                                                               ,Adele                                           ,8
One Call Away                                                                                                                                                                    ,Charlie Puth                                    ,14
Like I'm Gonna Lose You (feat. John Legend)                                                                                                                                      ,Meghan Trainor                                  ,14
Without Me                                                                                                                                                                       ,Halsey                                          ,5
Happier                                                                                                                                                                          ,Ed Sheeran                                      ,14
Stronger (What Doesn't Kill You)                                                                                                                                                 ,Kelly Clarkson                                  ,31
All of Me                                                                                                                                                                        ,John Legend                                     ,21
Call Me Maybe                                                                                                                                                                    ,Carly Rae Jepsen                                ,5
The Nights                                                                                                                                                                       ,Avicii                                          ,38
New Rules                                                                                                                                                                        ,Dua Lipa                                        ,3
Let Me Love You                                                                                                                                                                  ,DJ Snake                                        ,1
Dear Future Husband                                                                                                                                                              ,Meghan Trainor                                  ,27
Shape of You                                                                                                                                                                     ,Ed Sheeran                                      ,29
YOUTH                                                                                                                                                                            ,Troye Sivan                                     ,1
Bad Blood                                                                                                                                                                        ,Taylor Swift                                    ,39
Locked out of Heaven                                                                                                                                                             ,Bruno Mars                                      ,38
I Really Like You                                                                                                                                                                ,Carly Rae Jepsen                                ,38
In My Blood                                                                                                                                                                      ,Shawn Mendes                                    ,8
Lush Life                                                                                                                                                                        ,Zara Larsson                                    ,3
Domino                                                                                                                                                                           ,Jessie J                                        ,5
ME! (feat. Brendon Urie of Panic! At The Disco)                                                                                                                                  ,Taylor Swift                                    ,24
Galway Girl                                                                                                                                                                      ,Ed Sheeran                                      ,38
Firework                                                                                                                                                                         ,Katy Perry                                      ,5
When I Was Your Man                                                                                                                                                              ,Bruno Mars                                      ,14
What Do You Mean?                                                                                                                                                                ,Justin Bieber                                   ,29
Rolling in the Deep                                                                                                                                                              ,Adele                                           ,1
Into You                                                                                                                                                                         ,Ariana Grande                                   ,1
PILLOWTALK                                                                                                                                                                       ,ZAYN                                            ,1
Paris                                                                                                                                                                            ,The Chainsmokers                                ,8
Glad You Came                                                                                                                                                                    ,The Wanted                                      ,23
If the World Was Ending (feat. Julia Michaels)                                                                                                                                   ,JP Saxe                                         ,14
Send My Love (To Your New Lover)                                                                                                                                                 ,Adele                                           ,18
"How Far I'll Go - From ""Vaiana""                                                                                                                                              ",Alessia Cara                                    ,13
Roar                                                                                                                                                                             ,Katy Perry                                      ,11
Castle on the Hill                                                                                                                                                               ,Ed Sheeran                                      ,8
Let Me Down Slowly                                                                                                                                                               ,Alec Benjamin                                   ,22
7 rings                                                                                                                                                                          ,Ariana Grande                                   ,7
Please Don't Go                                                                                                                                                                  ,Joel Adams                                      ,22
Pretty Girl - Cheat Codes X CADE Remix                                                                                                                                           ,Maggie Lindemann                                ,3
All I Ask                                                                                                                                                                        ,Adele                                           ,25
Stay                                                                                                                                                                             ,Zedd                                            ,29
no tears left to cry                                                                                                                                                             ,Ariana Grande                                   ,23
i'm so tired...                                                                                                                                                                  ,Lauv                                            ,27
Just Give Me a Reason                                                                                                                                                            ,P!nk                                            ,14
Stay With Me                                                                                                                                                                     ,Sam Smith                                       ,14
It Ain't Me (with Selena Gomez)                                                                                                                                                  ,Kygo                                            ,31
Cold (feat. Future)                                                                                                                                                              ,Maroon 5                                        ,3
Mama                                                                                                                                                                             ,Jonas Blue                                      ,3
Starving                                                                                                                                                                         ,Hailee Steinfeld                                ,14
Shallow - Radio Edit                                                                                                                                                             ,Lady Gaga                                       ,1
What Lovers Do (feat. SZA)                                                                                                                                                       ,Maroon 5                                        ,29
Good Time                                                                                                                                                                        ,Owl City                                        ,38
Cold Water (feat. Justin Bieber & MØ)                                                                                                                                            ,Major Lazer                                     ,23
Dancing With A Stranger (with Normani)                                                                                                                                           ,Sam Smith                                       ,1
Never Forget You                                                                                                                                                                 ,Zara Larsson                                    ,23
No Promises (feat. Demi Lovato)                                                                                                                                                  ,Cheat Codes                                     ,5
Rockabye (feat. Sean Paul & Anne-Marie)                                                                                                                                          ,Clean Bandit                                    ,3
Wrecking Ball                                                                                                                                                                    ,Miley Cyrus                                     ,1
Diamonds                                                                                                                                                                         ,Rihanna                                         ,23
2U (feat. Justin Bieber)                                                                                                                                                         ,David Guetta                                    ,18
A Sky Full of Stars                                                                                                                                                              ,Coldplay                                        ,1
Bang Bang                                                                                                                                                                        ,Jessie J                                        ,22
Love Someone                                                                                                                                                                     ,Lukas Graham                                    ,18
Work from Home (feat. Ty Dolla $ign)                                                                                                                                             ,Fifth Harmony                                   ,5
Girl on Fire                                                                                                                                                                     ,Alicia Keys                                     ,1
That's What I Like                                                                                                                                                               ,Bruno Mars                                      ,31
7 Years                                                                                                                                                                          ,Lukas Graham                                    ,1
How Long                                                                                                                                                                         ,Charlie Puth                                    ,29
Superheroes                                                                                                                                                                      ,The Script                                      ,24
Bluebird                                                                                                                                                                         ,Alexis Ffrench                                  ,26
Two Skies                                                                                                                                                                        ,Dirk Maassen                                    ,34
Perfect                                                                                                                                                                          ,The Piano Guys                                  ,2
I. Adagio sostenuto                                                                                                                                                              ,Ludwig van Beethoven                            ,37
"3 Gymnopédies: No. 1, Lent et douloureux                                                                                                                                       ",Erik Satie                                      ,37
Halo                                                                                                                                                                             ,Henry Smith                                     ,2
Wishing                                                                                                                                                                          ,Alexis Ffrench                                  ,2
III. Andante                                                                                                                                                                     ,Antonio Vivaldi                                 ,16
Someone You Loved                                                                                                                                                                ,The Piano Guys                                  ,26
Brotin                                                                                                                                                                           ,Eydís Evensen                                   ,12
Air on a G String                                                                                                                                                                ,Johann Sebastian Bach                           ,2
"Bang Bang (My Baby Shot Me Down) - From ""Kill Bill""                                                                                                                          ",Thibault Cauvin                                 ,34
"6 Chorale Preludes, BV B 50: Herzlich tut mich verlangen, Op. 122/10                                                                                                           ",Johannes Brahms                                 ,37
Story of You                                                                                                                                                                     ,Alexis Ffrench                                  ,2
It's a Long Way to Happiness                                                                                                                                                     ,Alban Claudin                                   ,2
"Prelude in B minor, BWV 855a (Arr. by Alexander Siloti)                                                                                                                        ",Johann Sebastian Bach                           ,12
"2 Mélodies, Op.3: II. Andante (Arr. for Cello and Piano)                                                                                                                       ",Anton Rubinstein                                ,26
Hyper Silent                                                                                                                                                                     ,Davide Locatelli                                ,26
To the Sky (Moderate)                                                                                                                                                            ,Dirk Maassen                                    ,12
Adagio for Strings and Organ                                                                                                                                                     ,Tomaso Albinoni                                 ,12
Bylur                                                                                                                                                                            ,Eydís Evensen                                   ,26
You Say                                                                                                                                                                          ,The Piano Guys                                  ,26
Comptine d'un autre été: L'après-midi                                                                                                                                            ,Lavinia Meijer                                  ,37
Ave Maria                                                                                                                                                                        ,Charles Gounod                                  ,37
Les Contes d'Hoffmann: Barcarolle                                                                                                                                                ,Jacques Offenbach                               ,37
I Don't Care                                                                                                                                                                     ,2CELLOS                                         ,36
Arc                                                                                                                                                                              ,Wide Eyed                                       ,2
In My Blood / Swan Lake                                                                                                                                                          ,The Piano Guys                                  ,36
Tora                                                                                                                                                                             ,Wide Eyed                                       ,2
Variation XVIII - Andante cantabile                                                                                                                                              ,Sergei Rachmaninoff                             ,2
Bless the Broken Road                                                                                                                                                            ,The Piano Guys                                  ,2
Wandering II                                                                                                                                                                     ,Eydís Evensen                                   ,12
When I See You Again                                                                                                                                                             ,Chloe Flower                                    ,26
Nocturne in C Sharp                                                                                                                                                              ,Frédéric Chopin                                 ,34
Upland                                                                                                                                                                           ,Olivia Belli                                    ,16
In Another Life                                                                                                                                                                  ,Dirk Maassen                                    ,26
DNA                                                                                                                                                                              ,Amy Dickson                                     ,26
Reforestation (Episode 5 - Humans)                                                                                                                                               ,Ilan Eshkeri                                    ,16
