name,artist,cluster
Tudo isto é fado                                                                                                                                                                 ,Quatro Ventos                                   ,25
Quando Te Vi                                                                                                                                                                     ,Luisa Sobral                                    ,21
Sr. Vinho                                                                                                                                                                        ,Luisa Sobral                                    ,25
Inês                                                                                                                                                                             ,Luisa Sobral                                    ,25
Seja Agora                                                                                                                                                                       ,Deolinda                                        ,21
Algo Novo                                                                                                                                                                        ,Deolinda                                        ,14
Pois Foi                                                                                                                                                                         ,Deolinda                                        ,15
Há-De Passar                                                                                                                                                                     ,Deolinda                                        ,14
Xico                                                                                                                                                                             ,Luisa Sobral                                    ,10
O Engraxador                                                                                                                                                                     ,Luisa Sobral                                    ,21
Clandestino                                                                                                                                                                      ,Chico César                                     ,11
Trem das Onze                                                                                                                                                                    ,Demonios Da Garoa                               ,15
Chove Chuva                                                                                                                                                                      ,Jorge Ben Jor                                   ,21
Menina Mulher Da Pele Preta                                                                                                                                                      ,Jorge Ben Jor                                   ,29
Agua De Beber                                                                                                                                                                    ,Astrud Gilberto                                 ,15
Agua De Beber                                                                                                                                                                    ,Sophie Milman                                   ,5
Lá Vem O Brasil Descendo A Ladeira                                                                                                                                               ,Moraes Moreira                                  ,18
Amiga Da Minha Mulher                                                                                                                                                            ,Seu Jorge                                       ,3
O Leãozinho                                                                                                                                                                      ,Caetano Veloso                                  ,25
Coração Vagabundo                                                                                                                                                                ,Gal Costa                                       ,15
Fotografia                                                                                                                                                                       ,Vanessa Da Mata                                 ,15
Fotografia                                                                                                                                                                       ,João Gilberto                                   ,25
"Rosa, Menina Rosa                                                                                                                                                              ",Jorge Ben Jor                                   ,29
Fado Toninho                                                                                                                                                                     ,Deolinda                                        ,14
Mal Por Mal                                                                                                                                                                      ,Deolinda                                        ,25
Violão Vadio                                                                                                                                                                     ,Raphael Rabello                                 ,26
Chorinho Pra Voce                                                                                                                                                                ,Paulo Moura                                     ,36
Chorando Baixinho                                                                                                                                                                ,Raphael Rabello                                 ,25
Samba da Bênção                                                                                                                                                                  ,Maria Bethânia                                  ,24
Acabou Chorare                                                                                                                                                                   ,Sílvia Pérez Cruz                               ,4
Ui! (Voce Inventa)                                                                                                                                                               ,Tom Zé                                          ,14
"Augusta, Angélica e Consolação                                                                                                                                                 ",Tom Zé                                          ,21
Todos os olhos                                                                                                                                                                   ,Tom Zé                                          ,21
Vai (Menina amanhã de manhã)                                                                                                                                                     ,Tom Zé                                          ,27
Desde Que o Samba é Samba                                                                                                                                                        ,Gilberto Gil                                    ,15
Insensatez: A Mulher Que Fez                                                                                                                                                     ,Graveola                                        ,31
Ponto De Marinheiro / Marinheiro Só                                                                                                                                              ,Zé Maurício Machline                            ,14
Tanto Mar                                                                                                                                                                        ,Chico Buarque                                   ,24
Diz Que Eu Fui Por Aí                                                                                                                                                            ,Eva Fernández                                   ,15
Argumento                                                                                                                                                                        ,Paulinho Da Viola                               ,14
Chuck Berry Fields Forever                                                                                                                                                       ,Gilberto Gil                                    ,32
Brasil Pandeiro                                                                                                                                                                  ,Novos Baianos                                   ,21
Preta Pretinha                                                                                                                                                                   ,Novos Baianos                                   ,21
Swing de Campo Grande                                                                                                                                                            ,Novos Baianos                                   ,3
Máquina de Ritmo - Ao Vivo                                                                                                                                                       ,Gilberto Gil                                    ,25
Back In Bahia (Ao Vivo)                                                                                                                                                          ,Gilberto Gil                                    ,32
Sabor Colorido / Moça Bonita                                                                                                                                                     ,"Elomar, Geraldo Azevedo, Vital Farias, Xangai ",33
O Namorado Da Viúva                                                                                                                                                              ,Jorge Ben Jor                                   ,29
Taj Mahal                                                                                                                                                                        ,Jorge Ben Jor                                   ,11
Manada                                                                                                                                                                           ,Bagunço                                         ,3
Dolcenera                                                                                                                                                                        ,Fabrizio De André                               ,3
Nomes de Favela                                                                                                                                                                  ,Moyseis Marques                                 ,29
Magalenha                                                                                                                                                                        ,Sérgio Mendes                                   ,5
Deixa A Gira Girar                                                                                                                                                               ,Os Tincoãs                                      ,14
Senhora liberdade                                                                                                                                                                ,Zezé Motta                                      ,14
Catendé - Live                                                                                                                                                                  ,Vinícius de Moraes                              ,25
Coração Imprudente                                                                                                                                                               ,Paulinho Da Viola                               ,15
Dimokránsa                                                                                                                                                                       ,Mayra Andrade                                   ,15
Kenha Ki Ben Ki Ta Bai - Live                                                                                                                                                    ,Mayra Andrade                                   ,32
Baião Destemperado                                                                                                                                                               ,Barbatuques                                     ,27
Adeus Até Mais Ver                                                                                                                                                               ,Homem ao Mar                                    ,4
Baianá                                                                                                                                                                           ,Barbatuques                                     ,7
Meu Esquema                                                                                                                                                                      ,Mundo Livre S/A                                 ,15
Oração                                                                                                                                                                           ,A Banda Mais Bonita da Cidade                   ,21
Trem Das Onze                                                                                                                                                                    ,Adoniran Barbosa                                ,15
O Leaozinho                                                                                                                                                                      ,Caetano Veloso                                  ,25
Sonho Meu                                                                                                                                                                        ,Dona Ivone Lara                                 ,15
Samba De Verao                                                                                                                                                                   ,Caetano Veloso                                  ,21
Sonhos                                                                                                                                                                           ,Caetano Veloso                                  ,15
Shimbalaiê - Live                                                                                                                                                                ,Caetano Veloso                                  ,33
Sampa - Live                                                                                                                                                                     ,Caetano Veloso                                  ,33
Nega Maluca / Billie Jean / Eleanor Rigby                                                                                                                                        ,Caetano Veloso                                  ,15
Get Out Of Town                                                                                                                                                                  ,Caetano Veloso                                  ,15
Coração Vagabundo                                                                                                                                                                ,Caetano Veloso                                  ,4
Life On Mars - 1999 Remaster                                                                                                                                                     ,David Bowie                                     ,21
Rebel Rebel                                                                                                                                                                      ,Seu Jorge                                       ,15
Alegria                                                                                                                                                                          ,Batida                                          ,5
Pobre e Rico                                                                                                                                                                     ,Batida                                          ,38
Tirei o Chapéu                                                                                                                                                                   ,Batida                                          ,5
"Canta Canta, Minha Gente                                                                                                                                                       ",Martinho Da Vila                                ,27
Burguesinha                                                                                                                                                                      ,Seu Jorge                                       ,38
Mina Do Condomínio                                                                                                                                                               ,Seu Jorge                                       ,3
Alma Não Tem Cor                                                                                                                                                                 ,Perotá Chingó                                   ,27
Homens                                                                                                                                                                           ,Manu Chao                                       ,18
Se eu quiser falar com Deus - Ao vivo                                                                                                                                            ,Gilberto Gil                                    ,33
Aquele Abraço                                                                                                                                                                    ,Gilberto Gil                                    ,38
Aquele abraço - Ao vivo                                                                                                                                                          ,Gilberto Gil                                    ,32
Maria Bethânia                                                                                                                                                                   ,Caetano Veloso                                  ,21
Maria Bethânia                                                                                                                                                                   ,Caetano Veloso                                  ,21
Sampa                                                                                                                                                                            ,Caetano Veloso                                  ,14
O Ciúme - Remixed Original Album                                                                                                                                                 ,Caetano Veloso                                  ,14
Lindeza                                                                                                                                                                          ,Caetano Veloso                                  ,4
Get Out Of Town                                                                                                                                                                  ,Caetano Veloso                                  ,15
Quando Eu Penso Na Bahia                                                                                                                                                         ,Caetano Veloso                                  ,33
The Storms Are On The Ocean                                                                                                                                                      ,Great Lake Swimmers                             ,21
La Leyenda Del Pájaro Antiguo (feat. Nacho Vegas)                                                                                                                                ,Carlos Madrid                                   ,21
Paranoid Android                                                                                                                                                                 ,Brad Mehldau                                    ,34
There Is An End                                                                                                                                                                  ,Craig James Fox                                 ,3
Yegelle Tezeta                                                                                                                                                                   ,Mulatu Astatke                                  ,36
Different Pulses                                                                                                                                                                 ,Asaf Avidan                                     ,8
Far From Any Road                                                                                                                                                                ,The Handsome Family                             ,11
Lead Me Home - The Walking Dead Soundtrack                                                                                                                                       ,Jamie N Commons                                 ,4
Shadows                                                                                                                                                                          ,Au Revoir Simone                                ,18
Warm Shadow                                                                                                                                                                      ,Fink                                            ,15
Guns Of Brixton                                                                                                                                                                  ,Nouvelle Vague                                  ,15
This Is Not A Love Song                                                                                                                                                          ,Nouvelle Vague                                  ,15
Imik Si Mik                                                                                                                                                                      ,Hindi Zahra                                     ,21
Sushi                                                                                                                                                                            ,Cocoon                                          ,15
