id,cluster
5SK175I291bHHcroTHUwQn ,8
5cEHUIuDkbTtFW5eoTp4bI ,31
2Er0f1mhO0g1rov9Cdi5Wk ,39
0q1hmhVWdR04mZup6mR56u ,39
5V0HmhGqwjoDq0cHlI05GS ,29
3hv8SDnq2ETLT5FoMY28Da ,26
2Yv8FPQ8MJgQfuMzqSITuW ,19
2ctBnKIGC5KoWUg8reeCTL ,35
0iM2mFz8ijP7Ngm5BXcRo2 ,38
7pdCDKs0i05N8ag4tAC5u5 ,19
2Je7oP0aHfEy7UdEYyAuUX ,29
1DFFUsN49AUonUcTiQNnjI ,29
1WQ3JkjvHZ03hwTUPLXpqr ,38
1KhskNApqcI0XuIbbeERlw ,1
3BD2hlwoExMUXUpxcYxaWx ,8
0HdeVf8f8wVkrYNYbF0u2t ,8
5u16KY1xdK7fz9ZZJt0vEx ,26
7c2WCH2MNOOh1tSyOvesgl ,9
1e8fUVkBW3cL5cRU6Ic36d ,9
1RxLaLlc23nfFxYF2e2skg ,31
1EoV0vQjHaMQ8WehQGXS8O ,24
1uvPe8ZgFhO8EnzDdR4sjH ,37
4bndkI1TTh7itdsyixtDoD ,33
5hO3HgwIygwqjkGsw6wdP3 ,9
0YBq701BXkMaK6V5UyvOpT ,39
2TI5GBkbrrFtZRM5v1heeb ,9
0SieRhHp1mnsVN8DbGTTuA ,37
4wUzJax4y4a6jIhbF28LoC ,9
1vt0n3GcAYrsSMue1C6OtC ,39
6kCjKljGsnyzXaKKH9Cbgu ,9
4Q3nQek3cWJqlRVPrvsbdJ ,35
38hizYSleQ0861n2jyS7MR ,35
3614O0eE1Q8YKvOnCPtWtZ ,9
5zX4wtlOEYHGnS9bizVatv ,9
5NDmf6BvOSrzcJhAtpvV0U ,10
1mSU6b0jPDR022Vpw6PU1U ,25
0gwNAMVAXRvERlC16eZXyA ,9
1K3JwmUeXS2g8OpRhtxtDO ,1
5JwUWwgqAaG8PrQ96YMMdT ,4
1NC2mfagQJAUejZNuMernG ,1
57E1ka54d8zrIy0VzE1EAV ,24
3mXjQTPztvXVRuL6tt6jY3 ,20
27UvjEKY0j5l2kiuMCHaE1 ,29
2Dh6lSAFh1LWYeoMkDe2TS ,24
4WAdzFPrvnq77ZS7woIkfv ,9
7juNpUD2eKlSPBTdgr8EGC ,35
7CjSjWTdVPD0ov82Qz55Xb ,31
1A46STanraigBtVHIHtOdm ,31
0UHHuAqx5RuwVoqug8JqJy ,39
4GldaY02BCVmDp82TU1Cpg ,39
2VBN5kSs1fyiE5fnOYeKsG ,8
5mQiAI0EhTJxCBGdftoaO7 ,37
